affiliation,item_id,item_type,title,item_url,authors,authors_with_affiliations,Awards
"Department of Human-Centred Computing, Monash University",222059,Papers,GastroConcerto: Towards Designing Dining–Sound Pairings to Support Culinary Creativity,https://programs.sigchi.org/chi/2026/program/content/222059,"Hongyue Wang , Sasindu Abewickrema , Yuchen Zheng , Po-Yao (Cosmos) Wang , Hong Luo , Ziqi Fang , Jialin Deng , Nandini Pasumarthy , Don Samitha Elvitigala , Florian ‘Floyd’ Mueller",Jialin Deng,
Edith Cowan University,222404,Papers,From Oversight to Insight: Transforming Cybersecurity Governance in Boardrooms,https://programs.sigchi.org/chi/2026/program/content/222404,"Tooba Aamir , Georgia Psaroulis , Marthie Grobler , Helge Janicke",,
Geo-Spir,222404,Papers,From Oversight to Insight: Transforming Cybersecurity Governance in Boardrooms,https://programs.sigchi.org/chi/2026/program/content/222404,"Tooba Aamir , Georgia Psaroulis , Marthie Grobler , Helge Janicke",,
La Trobe University,222933,Papers,N-ary Gaussian Model Modeling Pointing Uncertainty Across Task Scenarios Using an Automated Multi-Gaussian Modeling Pipeline,https://programs.sigchi.org/chi/2026/program/content/222933,"Hao Zhang , Yixiao Xiao , Yawen Zheng , Jin Huang , Xinan Yan , Xuning Hu , Nianlong Li , Huawei Tu , Feng Tian",Xinan Yan,
La Trobe University,223322,Papers,“Capture Your Experience at This Moment”: Collecting Concurrent User Experience Data in Immersive Virtual Environment,https://programs.sigchi.org/chi/2026/program/content/223322,"Mingming Wang , Henry Been-Lirn Duh , Xiaoyu Zhang , Yihan Mei , Haohan Wang , Haiyan Jiang , Zhibin Zhou",,
Microsoft Research,222651,Papers,The ORBIT India Dataset: Understanding the Challenges of Collecting a Disability-First AI Dataset in Low-Resource Environments,https://programs.sigchi.org/chi/2026/program/content/222651,"Gesu India , Martin Grayson , Cecily Morrison , Daniela Massiceti , Simon Robinson , Jennifer Pearson , Matt Jones",,
Microsoft Research,223071,Papers,Engaging Communities Meaningfully in Defining Disability Representation for AI Image Generation,https://programs.sigchi.org/chi/2026/program/content/223071,"Anja Thieme , Rita Faia Marques , Martin Grayson , Sidhika Balachandar , Cameron Tyler Cassidy , Madiha Zahrah Choksi , Camilla Longden , Reeda Shimaz Huda , Nicholas Ileve Kalovwe , Christina Mallon , Courtney Mansperger , Daniela Massiceti , Bhaskar Mitra , Ruth Mueni Nzioka , Ioana Tanase , Yuzhe You , Cecily Morrison",,
Monash University,222842,Papers,triMorph: Bridging Shape-Change and Cross-Sensory Correspondences for Haptic Interaction,https://programs.sigchi.org/chi/2026/program/content/222842,"Zhuzhi FAN , Min Susan Li , Jialin Deng , Amy Ingold , Oussama Metatla",Jialin Deng,
Monash University,214807,Workshops,"Body Transformation Experiences: A workshop on How to Elicit, Assess and Support them through Multisensory Technology",https://programs.sigchi.org/chi/2026/program/content/214807,"Ana Tajadura-Jiménez , Elena Márquez Segura , Marte Roel Lesur , Laia Turmo Vidal , Frederic Bevilacqua , Nadia Berthouze , Aneesha Singh , Alice C Haynes , Pedro Lopes , Jun Nishida , Don Samitha Elvitigala , Paul Strohmeier","Ana Tajadura-Jiménez, Marte Roel Lesur, ",
Monash University,214815,Workshops,From Movement to Sound and Back: A Workshop on Movement-Based and Sonification Design Approaches,https://programs.sigchi.org/chi/2026/program/content/214815,"Michael Reichmann , Vincent van Rheden , Maria Fernanda Montoya , Hakan YILMAZER , Hongyue Wang , Laia Turmo Vidal , Daniel Hug , Nina Schaffert , Alexander Meschtscherjakov , Florian ‘Floyd’ Mueller",,
Monash University,214843,Meet-up,SportsHCI Meet-Up: Exploring the Role of AI in the Evolving World of SportsHCI,https://programs.sigchi.org/chi/2026/program/content/214843,"Vincent van Rheden , Michelle Adiwangsa , Maria Fernanda Montoya , Ian Smith , Don Samitha Elvitigala , Daniel Harrison , Amon Rapp , Alexander Meschtscherjakov , Florian ‘Floyd’ Mueller",,
Monash University,214853,Workshops,"Next Steps for Augmented Reality On-the-Move: Challenges and Opportunities
",https://programs.sigchi.org/chi/2026/program/content/214853,"Helen Stefanidi , Vincent van Rheden , Linjia He , Michelle Adiwangsa , Jan-Hendrik Sünderkamp , Alina Itzlinger , Andrii Matviienko , Julie R. Williamson , Ian Oakley , Markus Tatzgern , Alexander Meschtscherjakov","Helen Stefanidi, Jan-Hendrik Sünderkamp",
Monash University,221883,Papers,AuslanSpell: An Interactive Technology for Improving Auslan Fingerspelling Comprehension,https://programs.sigchi.org/chi/2026/program/content/221883,"Kalin Stefanov , Andre Ky Pham , Antony Smith Loose , Lucy M Robertson-Bell , Louisa Jane Vaughan Willoughby",,
Monash University,221940,Papers,How Do Operators Use Network Diagrams? Characterising Visualisation Tasks in an Energy Control Room,https://programs.sigchi.org/chi/2026/program/content/221940,"Merry Kim Hoang , Sarah Goodwin , Roger Dargaville , Tim Dwyer",,HONORABLE MENTION
Monash University,222055,Papers,I Can Do It: Exploring Voice Assistants for Adults with Intellectual Disabilities,https://programs.sigchi.org/chi/2026/program/content/222055,"Madhuka Nadeeshani , Jacqueline Johnstone , Kirsten Ellis , Swamy Ananthanarayan",,
Monash University,222074,Papers,Nudging the Somas: Exploring How Live-Configurable Mixed Reality Objects Shape Open-Ended Intercorporeal Movements,https://programs.sigchi.org/chi/2026/program/content/222074,"Botao Amber Hu , Yilan Elan Tao , Rem RunGu Lin , Mingze Chai , Yuemin Huang , Rakesh Patibanda",,
Monash University,222082,Papers,MarioChart: Autonomous Tangibles as Active Proxy Interfaces for Embodied Casual Data Exploration,https://programs.sigchi.org/chi/2026/program/content/222082,"Shaozhang Dai , Kadek Ananta Satriadi , Jim Smiley , Barrett Ens , Lonni Besançon , Tim Dwyer",,
Monash University,222242,Papers,Grand Challenges around Designing Computers’ Control Over Our Bodies,https://programs.sigchi.org/chi/2026/program/content/222242,"Florian ‘Floyd’ Mueller , Nadia Berthouze , Misha Sra , Mar Gonzalez-Franco , Henning Pohl , Susanne Boll , Richard Byrne , Arthur Caetano , Masahiko Inami , Jarrod Knibbe , Per Ola Kristensson , Xiang Li , Zhuying Li , Joe Marshall , Louise Petersen Matjeka , Minna Nygren , Rakesh Patibanda , Sara Price , Harald Reiterer , Aryan Saini , Oliver Schneider , Ambika Shahu , Phoebe O. Toups Dugas , Don Samitha Elvitigala",,
Monash University,222305,Papers,EmojiFan: Designing A Social Interface Supporting Facial Expression Interaction for Blind and Low Vision People in Party Settings,https://programs.sigchi.org/chi/2026/program/content/222305,"Jinlin Miao , Shan Luo , Yue Chen , Hongyue Wang , Zhejun Zhang , Rina R. Wehbe",,
Monash University,222388,Papers,Zenergy: Designing Taoist-Inspired Transformative Nature Imagery for Everyday Empowerment,https://programs.sigchi.org/chi/2026/program/content/222388,"Zhuying Li , Yishu Wang , Yan Wang , Xin Sun",,
Monash University,222407,Papers,"""Deprived of support because we're born women"": Emerging Socio-Technical Pathways and Evolving Struggles for Women Entrepreneurs in Bangladesh",https://programs.sigchi.org/chi/2026/program/content/222407,"Manika Saha , Misita Anwar , Md Khalid Hossain , Tanjila Kanij , Umme Humayra , Syed Ishtiaque Ahmed , Gillian C. Oliver , Stephen Lindsay",,
Monash University,222414,Papers,Challenges in Synchronous & Remote Collaboration Around Visualization,https://programs.sigchi.org/chi/2026/program/content/222414,"Matthew Brehmer , Maxime Cordeil , Christophe Hurter , Takayuki Itoh , Wolfgang Büschel , Mahmood Jasim , Arnaud Prouzeau , David Saffo , Lyn Bartram , Sheelagh Carpendale , Chen Zhu-Tian , Andrew Cunningham , Tim Dwyer , Samuel Huron , Masahiko Itoh , Alark Joshi , Kiyoshi Kiyokawa , Hideaki Kuzuoka , Bongshin Lee , Gabriela Molina León , Harald Reiterer , Bektur Ryskeldiev , Jonathan Schwabish , Brian A. Smith , Yasuyuki Sumi , Ryo Suzuki , Anthony Tang , Yalong Yang , Jian Zhao",,
Monash University,222592,Papers,I'm Always a Little Skeptical of It: Verification Practices of Blind Users When Working with Generative AI in Spreadsheets,https://programs.sigchi.org/chi/2026/program/content/222592,"Minoli Perera , Swamy Ananthanarayan , Cagatay Goncu , Kim Marriott",,
Monash University,222652,Papers,Movement as Medium: Personalisation of Instruments for Inclusive Creative Expression in Disability-Led Performance,https://programs.sigchi.org/chi/2026/program/content/222652,"Sam Trolland , Melinda Smith , Alon Ilsar , Jon McCormack",,HONORABLE MENTION
Monash University,222690,Papers,GreenCompass: Weaving Playful Nature Engagement into Urban Micro-Moments through Context-Aware Gamification,https://programs.sigchi.org/chi/2026/program/content/222690,"Mingtao Wu , Ziteng Zhang , Mengjie Tang , Yan Wang , Zhuying Li",,
Monash University,222816,Papers,Towards Understanding the Design of Mixed Reality Systems to Enrich the Beverage Experience,https://programs.sigchi.org/chi/2026/program/content/222816,"Yuchen Zheng , Zhuo Wang , Hongyue Wang , Don Samitha Elvitigala , Florian ‘Floyd’ Mueller",,
Monash University,222826,Papers,When EmotionTech Causes Harm: The Case of Therapeutic XR,https://programs.sigchi.org/chi/2026/program/content/222826,"Thida Sachathep , Kiran Ijaz , Danielle Lottridge , Anna Janssen , Jonas Fritsch , Lina Goh , Philip Austin , Andrew Campbell , Barbara Barbosa Neves , Naseem Ahmadpour",,
Monash University,222882,Papers,Radical Gender Neutrality: Agender Euphoria in Gaming and Play Experiences,https://programs.sigchi.org/chi/2026/program/content/222882,"Katie Seaborn , Shano Liang , Rua Mae Williams , Phoebe O. Toups Dugas","Katie Seaborn, ",
Monash University,222937,Papers,CoMap: A Collaborative 3D Sketch Mapping Game to Engage Spatial Communication in Search and Rescue,https://programs.sigchi.org/chi/2026/program/content/222937,"Tianyi Xiao , Sailin Zhong , Peter Kiefer , Miki Mizuki , Phoebe O. Toups Dugas , Martin Raubal",,HONORABLE MENTION
Monash University,223013,Papers,Machine Eye: Designing Relational Engagement with Embodied Large Language Models,https://programs.sigchi.org/chi/2026/program/content/223013,"Aileen Ng , Nina Rajcic , Rowan Page",,
Monash University,223031,Papers,“My Tummy Has a Little Dragon”: From Everyday Experiences of Gut Sounds to Interoceptive Interaction Design,https://programs.sigchi.org/chi/2026/program/content/223031,"Nandini Pasumarthy , Mia Huong Nguyen , Ashika Ramesh Krishnan , Maria F. Montoya , Rakesh Patibanda , Jessica Danaher , Rohit Ashok Khot , Elise van den Hoven , Florian ‘Floyd’ Mueller",,
Monash University,223034,Papers,Towards Understanding the Design of Shared Bodily Control via Exoskeleton-based Play,https://programs.sigchi.org/chi/2026/program/content/223034,"Zhuying Li , Tianze Huang , Rakesh Patibanda , Pengfei Fang , Florian ‘Floyd’ Mueller",,
Monash University,223050,Papers,"Criminator: An Easy-to-Use XR ""Crime Animator"" for Rapid Reconstruction and Analysis of Dynamic Crime Scenes",https://programs.sigchi.org/chi/2026/program/content/223050,"Vahid Pooryousef , Lonni Besançon , Maxime Cordeil , Chris Flight , Alastair M Ross , Richard Bassed , Tim Dwyer",,
Monash University,219363,Papers,Novobo: Supporting Teachers' Peer Learning of Instructional Gestures by Teaching a Mentee AI-Agent Together,https://programs.sigchi.org/chi/2026/people/list/219363,"Jiaqi Jiang , Kexin Huang , Huan Zeng , Duo Gong , Roberto Martinez-Maldonado , Pengcheng An",,BEST PAPER
